candidate_webname,state_postal,cd,cand_party,year,web_score,FECCandID,bioguide_id
French Hill,AR,2,Republican,2018,0.509217946,H4AR02141,H001072
Paul Spencer,AR,2,Democrat,2018,-0.582543108,H8AR02134,NA
Clarke Tucker,AR,2,Democrat,2018,-0.794682251,H8AR02159,NA
Joyce Elliott,AR,2,Democrat,2020,NA,H0AR02206,NA
French Hill,AR,2,Republican,2020,0.603026311,H4AR02141,H001072
Conrad Reynolds,AR,2,Republican,2022,1.592492198,H2AR02103,NA
French Hill,AR,2,Republican,2022,0.358136538,H4AR02141,H001072
Quintessa Hathaway,AR,2,Democrat,2022,-0.716418065,H2AR02095,NA
Joshua Mahony,AR,3,Democrat,2018,-0.669872108,H8AR03074,NA
Robb Ryerse,AR,3,Republican,2018,-0.347847983,H8AR03066,NA
Steve Womack,AR,3,Republican,2018,1.128788535,H0AR03055,W000809
Celeste Williams,AR,3,Democrat,2020,-0.971182025,H0AR03105,NA
Steve Womack,AR,3,Republican,2020,1.224380718,H0AR03055,W000809
Lauren Mallett-Hays,AR,3,Democrat,2022,-0.928109855,H2AR03283,NA
Neil Kumar,AR,3,Republican,2022,0.520867287,H2AR03275,NA
Steve Womack,AR,3,Republican,2022,0.954624556,H0AR03055,W000809
Randy Caldwell,AR,4,Republican,2018,NA,H8AR04148,NA
Hayden Shamel,AR,4,Democrat,2018,-0.795594838,H8AR04130,NA
Bruce Westerman,AR,4,Republican,2018,NA,H4AR04048,W000821
William Hanson,AR,4,Democrat,2020,-0.841672104,H0AR04087,NA
Bruce Westerman,AR,4,Republican,2020,0.235623526,H4AR04048,W000821
Bruce Westerman,AR,4,Republican,2022,0.102634559,H4AR04048,W000821
John White,AR,4,Democrat,2022,NA,H2AR04158,NA
Tom O'Halleran,AZ,1,Democrat,2018,0.050780895,H6AZ01199,O000171
Wendy Rogers,AZ,1,Republican,2018,1.073562982,H2AZ09035,NA
Tiffany Shedd,AZ,1,Republican,2018,1.091820253,H8AZ01237,NA
Steve Smith,AZ,1,Republican,2018,1.263990544,H8AZ01229,NA
Tom O'Halleran,AZ,1,Democrat,2020,-0.051818979,H6AZ01199,O000171
Eva Putzova,AZ,1,Democrat,2020,-0.679631226,H0AZ01358,NA
Nolan Quinn Reidhead,AZ,1,Republican,2020,1.081700984,H0AZ01408,NA
Tiffany Shedd,AZ,1,Republican,2020,1.121584906,H8AZ01237,NA
Adam Metzendorf,AZ,1,Democrat,2022,-0.091452378,H2AZ06270,NA
David Schweikert,AZ,1,Republican,2022,1.629167881,H4AZ06045,S001183
Elijah Norton,AZ,1,Republican,2022,0.864573811,H2AZ06247,NA
Jevin Hodge,AZ,1,Democrat,2022,-0.037179624,H2AZ06221,NA
Josh Barnett,AZ,1,Republican,2022,0.598829366,H0AZ07082,NA
Matt Heinz,AZ,2,Democrat,2018,-0.400621321,H8AZ02136,NA
Ann Kirkpatrick,AZ,2,Democrat,2018,-0.297589721,H8AZ01104,K000368
Billy Kovacs,AZ,2,Democrat,2018,NA,H8AZ02110,NA
Brandon Martin,AZ,2,Republican,2018,0.799817347,H8AZ02201,NA
Mary Matiella,AZ,2,Democrat,2018,-0.887564559,H8AZ02144,NA
Daniel Morales Jr,AZ,2,Republican,2018,NA,H8AZ02227,NA
Lea Marquez Peterson,AZ,2,Republican,2018,0.950293745,H8AZ02185,NA
Barbara Sherry,AZ,2,Democrat,2018,-0.454817388,H8AZ02177,NA
Casey Welch,AZ,2,Republican,2018,1.066512998,H8AZ02193,NA
Bruce Wheeler,AZ,2,Democrat,2018,-0.46079474,H8AZ02169,NA
Yahya Yuksel,AZ,2,Democrat,2018,-0.546670935,H8AZ02235,NA
Jordan Flayer,AZ,2,Republican,2020,NA,NA,NA
Ann Kirkpatrick,AZ,2,Democrat,2020,-0.296679041,H8AZ01104,K000368
Brandon Martin,AZ,2,Republican,2020,1.229778756,H0AZ02190,NA
Joseph David Morgan,AZ,2,Republican,2020,0.107221475,H0AZ02182,NA
Peter Quilter,AZ,2,Democrat,2020,NA,H0AZ02281,NA
Noran Eric Ruden,AZ,2,Republican,2020,0.777924427,H0AZ02265,NA
Andy Yates,AZ,2,Republican,2022,0.389452766,NA,NA
Eli Crane,AZ,2,Republican,2022,1.495340907,H2AZ01354,C001132
John Moore,AZ,2,Republican,2022,0.516192769,NA,NA
Mark DeLuzio,AZ,2,Republican,2022,1.022262665,H2AZ02402,NA
Ron Watkins,AZ,2,Republican,2022,1.263522001,H2AZ01362,NA
Steven Krystofiak,AZ,2,Republican,2022,1.311535876,H2AZ02410,NA
Tom O'Halleran,AZ,2,Democrat,2022,-0.091190574,H6AZ01199,NA
Walt Blackman,AZ,2,Republican,2022,0.746289651,H2AZ01339,NA
Sergio Arellano,AZ,3,Republican,2018,0.604016913,H8AZ03142,NA
Raul Grijalva,AZ,3,Democrat,2018,-0.77200296,H2AZ07070,G000551
Nick Pierson,AZ,3,Republican,2018,-0.327671384,H8AZ03159,NA
Edna San Miguel,AZ,3,Republican,2018,1.324826845,H6AZ03179,NA
Raul Grijalva,AZ,3,Democrat,2020,-0.804890249,H2AZ07070,G000551
Danie Wood,AZ,3,Republican,2020,1.24909544,H0AZ03461,NA
Jeff Zink,AZ,3,Republican,2022,-0.04160697,H2AZ07187,NA
Ruben Gallego,AZ,3,Democrat,2022,-0.563639081,H4AZ07043,G000574
David Brill,AZ,4,Democrat,2018,-0.512852003,H8AZ04140,NA
Delina DiSanto,AZ,4,Democrat,2018,NA,H8AZ04165,NA
Paul Gosar,AZ,4,Republican,2018,1.360818344,H0AZ01259,G000565
Ana Maria Perez,AZ,4,Democrat,2018,NA,H8AZ04132,NA
Delina DiSanto,AZ,4,Democrat,2020,-0.568967976,H8AZ04165,NA
Paul Gosar,AZ,4,Republican,2020,1.30861367,H0AZ01259,G000565
Stuart Marc Starky,AZ,4,Democrat,2020,-0.502566341,H6AZ04136,NA
Anne Marie Ward,AZ,4,Republican,2020,NA,H0AZ04535,NA
Dave Giles,AZ,4,Republican,2022,1.155682433,NA,NA
Greg Stanton,AZ,4,Democrat,2022,-0.192057981,H8AZ09040,S001211
Jerone Davison,AZ,4,Republican,2022,-0.160710765,H2AZ09183,NA
Kelly Cooper,AZ,4,Republican,2022,1.059690808,H2AZ09191,NA
Rene Lopez,AZ,4,Republican,2022,1.091373267,NA,NA
Tanya Wheeless,AZ,4,Republican,2022,1.329709886,H2AZ09175,NA
Andy Biggs,AZ,5,Republican,2018,1.074582746,H6AZ05083,B001302
Joan Greene,AZ,5,Democrat,2018,-0.634137521,H8AZ05154,NA
Jose Torres,AZ,5,Democrat,2018,-0.602391754,H8AZ05162,NA
Andy Biggs,AZ,5,Republican,2020,1.105337237,H6AZ05083,B001302
Joan Greene,AZ,5,Democrat,2020,-0.811684287,H8AZ05154,NA
Jonathan Ireland,AZ,5,Democrat,2020,-0.663877029,H0AZ05169,NA
Javier Ramos,AZ,5,Democrat,2020,-0.28426383,H0AZ05185,NA
Andy Biggs,AZ,5,Republican,2022,1.092172453,H6AZ05083,B001302
Javier Ramos,AZ,5,Democrat,2022,-0.207174475,H0AZ05185,NA
Anita Malik,AZ,6,Democrat,2018,-1.030730642,H8AZ06103,NA
Garrick McFadden,AZ,6,Democrat,2018,-1.107381818,H8AZ06087,NA
Heather Ross,AZ,6,Democrat,2018,-0.411831335,H8AZ06095,NA
David Schweikert,AZ,6,Republican,2018,1.116831056,H4AZ06045,S001183
Karl Gentles,AZ,6,Democrat,2020,-0.460893001,H0AZ06084,NA
Anita Malik,AZ,6,Democrat,2020,-1.525167499,H8AZ06103,NA
Stephanie S. Rimmer,AZ,6,Democrat,2020,-0.657072082,H0AZ06068,NA
David Schweikert,AZ,6,Republican,2020,0.481799511,H4AZ06045,S001183
Hiral Tipirneni,AZ,6,Democrat,2020,-0.451663695,H8AZ08083,NA
Avery Anderson,AZ,6,Democrat,2022,-0.386565023,H2AZ06312,NA
Brandon Martin,AZ,6,Republican,2022,1.406521275,NA,NA
Daniel Hernandez,AZ,6,Democrat,2022,-0.729412101,H2AZ02345,NA
Juan Ciscomani,AZ,6,Republican,2022,1.334562577,H2AZ02360,C001133
Kathleen Winn,AZ,6,Republican,2022,0.719247522,H2AZ02378,NA
Kirsten Engel,AZ,6,Democrat,2022,-0.780191299,H2AZ02311,NA
Lucretia Free,AZ,6,Republican,2022,0.426221068,NA,NA
Young Mayberry,AZ,6,Republican,2022,1.717241539,H2AZ06304,NA
Ruben Gallego,AZ,7,Democrat,2018,NA,H4AZ07043,G000574
Catherine Miranda,AZ,7,Democrat,2018,NA,H8AZ07044,NA
Ruben Gallego,AZ,7,Democrat,2020,-0.31031283,H4AZ07043,G000574
Josh Barnett,AZ,7,Republican,2020,1.361052889,H0AZ07082,NA
Luis Pozzolo,AZ,7,Republican,2022,0.603168306,H2AZ03152,NA
Nina Becker,AZ,7,Republican,2022,NA,H2AZ07195,NA
Raul Grijalva,AZ,7,Democrat,2022,-0.746651341,H2AZ07070,G000551
Sandra Dowling,AZ,8,Republican,2018,0.823707962,H8AZ08257,NA
Debbie Lesko,AZ,8,Republican,2018,1.641356618,H8AZ08158,L000589
Hiral Tipirneni,AZ,8,Democrat,2018,-0.376171378,H8AZ08083,NA
Debbie Lesko,AZ,8,Republican,2020,1.770044452,H8AZ08158,L000589
Michael Archangel Muscato,AZ,8,Democrat,2020,-0.766617374,H0AZ08072,NA
Bob Musselwhite,AZ,8,Democrat,2020,-0.034083483,H8AZ08232,NA
Robert Olsen,AZ,8,Democrat,2020,NA,H0AZ08080,NA
Debbie Lesko,AZ,8,Republican,2022,1.020550754,H8AZ08158,L000589
Steve Ferrara,AZ,9,Republican,2018,0.53624473,H8AZ09024,NA
Dave Giles,AZ,9,Republican,2018,1.085302154,H6AZ09010,NA
Greg Stanton,AZ,9,Democrat,2018,NA,H8AZ09040,S001211
Irina Von Behr,AZ,9,Republican,2018,0.029247302,H8AZ09016,NA
Dave Giles,AZ,9,Republican,2020,1.215504161,H6AZ09010,NA
Hsinming Sam Huang,AZ,9,Republican,2020,NA,H0AZ09047,NA
Greg Stanton,AZ,9,Democrat,2020,-0.771663728,H8AZ09040,S001211
Nicholas Tutora,AZ,9,Republican,2020,0.093462052,H0AZ09021,NA
Adam Morgan,AZ,9,Republican,2022,0.610160013,H2AZ04218,NA
Paul Gosar,AZ,9,Republican,2022,1.489151865,H0AZ01259,G000565
Randy Kutz,AZ,9,Republican,2022,1.243215673,H2AZ09209,NA
Sandra Dowling,AZ,9,Republican,2022,NA,H2AZ09225,NA
Gregory Cheadle,CA,1,Republican,2018,0.547188411,NA,NA
Audrey Denney,CA,1,Democrat,2018,-1.09020044,H8CA01257,NA
Jessica Holcombe,CA,1,Democrat,2018,-0.879076004,H8CA01190,NA
Doug LaMalfa,CA,1,Republican,2018,1.007065206,H2CA02142,L000578
David Peterson,CA,1,Democrat,2018,NA,H6CA01202,NA
Marty Walters,CA,1,Democrat,2018,-0.95844987,H8CA01208,NA
Audrey Denney,CA,1,Democrat,2020,-0.668096949,H8CA01257,NA
Doug LaMalfa,CA,1,Republican,2020,1.083725515,H2CA02142,L000578
Rob Lydon,CA,1,Democrat,2020,NA,H0CA01213,NA
Kenneth E. Swanson,CA,1,Republican,2020,NA,NA,NA
Doug LaMalfa,CA,1,Republican,2022,1.059211271,H2CA02142,L000578
Max Steiner,CA,1,Democrat,2022,0.254050306,H2CA01227,NA
Tim Geist,CA,1,Republican,2022,0.149773471,H2CA01250,NA
"Michael J. ""Mike"" Barkley",CA,10,Democrat,2018,NA,H2CA00096,NA
Jeff Denham,CA,10,Republican,2018,0.22061555,H0CA19173,NA
Michael Eggman,CA,10,Democrat,2018,-0.157372157,H4CA10075,NA
Josh Harder,CA,10,Democrat,2018,-0.879570725,H8CA10126,H001090
Ted II Howze,CA,10,Republican,2018,0.296116688,H8CA10209,NA
Virginia Madueno,CA,10,Democrat,2018,-0.847682086,H8CA10175,NA
Dotty Nygard,CA,10,Democrat,2018,-0.791673613,H8CA10118,NA
Sue Zwahlen,CA,10,Democrat,2018,-0.850448852,H8CA10183,NA
"Michael J. ""Mike"" Barkley",CA,10,Democrat,2020,-0.811141769,H2CA00096,NA
Ryan Blevins,CA,10,Democrat,2020,-0.854218435,H0CA10289,NA
Bob Elliott,CA,10,Republican,2020,NA,H0CA10271,NA
Josh Harder,CA,10,Democrat,2020,-0.62679653,H8CA10126,H001090
Ted II Howze,CA,10,Republican,2020,NA,H8CA10209,NA
Marla Livengood,CA,10,Republican,2020,-0.04130147,H0CA10255,NA
Mark DeSaulnier,CA,10,Democrat,2022,NA,H0CA10073,D000623
Mark DeSaulnier,CA,11,Democrat,2018,NA,H0CA10073,D000623
John Fitzgerald,CA,11,Republican,2018,0.114995567,H0CA07111,NA
Dennis Lytton,CA,11,Democrat,2018,NA,H8CA11090,NA
Mark DeSaulnier,CA,11,Democrat,2020,-0.773577146,H0CA10073,D000623
Nisha Sharma,CA,11,Republican,2020,0.129739386,H0CA15262,NA
Bianca Von Krieg,CA,11,Democrat,2022,NA,H2CA12208,NA
Eve Del Castello,CA,11,Republican,2022,NA,NA,NA
Jeffrey Phillips,CA,11,Democrat,2022,-0.566095519,H2CA12166,NA
John Dennis,CA,11,Republican,2022,1.048362982,H2CA12174,NA
Nancy Pelosi,CA,11,Democrat,2022,-0.908348469,H8CA05035,P000197
Shahid Buttar,CA,11,Democrat,2022,-1.140153636,H8CA12262,NA
Shahid Buttar,CA,12,Democrat,2018,-0.353209423,H8CA12262,NA
Stephen Jaffe,CA,12,Democrat,2018,-0.934395399,H8CA12239,NA
Ryan Khojasteh,CA,12,Democrat,2018,-0.813423225,H8CA12254,NA
Nancy Pelosi,CA,12,Democrat,2018,-0.912721304,H8CA05035,P000197
Lisa Remmer,CA,12,Republican,2018,0.010100178,H8CA12270,NA
Agatha Bacelar,CA,12,Democrat,2020,-0.95138722,H0CA12111,NA
Shahid Buttar,CA,12,Democrat,2020,-0.880005584,H8CA12262,NA
John Dennis,CA,12,Republican,2020,0.721027809,H0CA08069,NA
Tom Gallagher,CA,12,Democrat,2020,-0.46017831,H0CA12129,NA
Deanna Lorraine,CA,12,Republican,2020,0.981178986,H0CA12137,NA
Nancy Pelosi,CA,12,Democrat,2020,-0.908486335,H8CA05035,P000197
Barbara Lee,CA,12,Democrat,2022,-1.205093915,H8CA09060,L000551
Eric Wilson,CA,12,Democrat,2022,NA,NA,NA
Ned Nuerge,CA,12,Republican,2022,0.701076486,H2CA12257,NA
Stephen Slauson,CA,12,Republican,2022,NA,H2CA12240,NA
Barbara Lee,CA,13,Democrat,2018,-1.034253782,H8CA09060,L000551
Barbara Lee,CA,13,Democrat,2020,-1.137656986,H8CA09060,L000551
Nikka Piterman,CA,13,Republican,2020,-0.205578195,H0CA13127,NA
Adam Gray,CA,13,Democrat,2022,-0.376997786,H2CA13115,NA
David A. Giglio,CA,13,Republican,2022,0.245915975,H2CA16134,NA
Diego Javier Martinez,CA,13,Republican,2022,-0.053710704,H2CA13123,NA
John Duarte,CA,13,Republican,2022,NA,H2CA13131,D000633
Phil Arballo,CA,13,Democrat,2022,-1.087431385,H0CA22102,NA
Cristina Osmena,CA,14,Republican,2018,-0.266599972,H8CA14185,NA
Jackie Speier,CA,14,Democrat,2018,-1.018371536,H8CA12171,S001175
Cristos Goodrow,CA,14,Democrat,2020,NA,H0CA14117,NA
Ran S. Petel,CA,14,Republican,2020,NA,H0CA14125,NA
Jackie Speier,CA,14,Democrat,2020,-1.048760975,H8CA12171,S001175
Alison Hayden,CA,14,Republican,2022,0.529292066,H0CA15247,NA
Eric Swalwell,CA,14,Democrat,2022,-0.816454108,H2CA15094,S001193
James Andrew Peters,CA,14,Democrat,2022,-1.124951868,NA,NA
"Sri ""Steve"" Iyer",CA,14,Republican,2022,NA,H2CA14204,NA
Tom Wong,CA,14,Republican,2022,-0.152851178,H2CA14196,NA
Rudy Peters,CA,15,Republican,2018,NA,H8CA15117,NA
Eric Swalwell,CA,15,Democrat,2018,-0.612242876,H2CA15094,S001193
Samantha Campbell,CA,15,Democrat,2020,-0.854402761,H0CA15288,NA
Alison Hayden,CA,15,Republican,2020,-0.470212154,H0CA15247,NA
Austin E. Intal,CA,15,Democrat,2020,NA,H0CA15254,NA
Peter Yuan Liu,CA,15,Republican,2020,NA,H0CA15239,NA
Tuan Phan,CA,15,Democrat,2020,-0.671881829,H0CA15296,NA
Eric Swalwell,CA,15,Democrat,2020,-0.438439969,H2CA15094,S001193
Andrew G. Watters,CA,15,Democrat,2022,NA,H2CA14154,NA
David J. Canepa,CA,15,Democrat,2022,NA,H2CA14170,NA
Emily Beach,CA,15,Democrat,2022,-0.981487855,H2CA14188,NA
Gus Mattammal,CA,15,Republican,2022,NA,H2CA14147,NA
Kevin Mullin,CA,15,Democrat,2022,NA,H2CA14162,M001225
Jim Costa,CA,16,Democrat,2018,-0.683556587,H4CA20082,C001059
Elizabeth Heng,CA,16,Republican,2018,0.327777947,H8CA16065,NA
Kevin Cookingham,CA,16,Republican,2020,0.357695366,H0CA16120,NA
Jim Costa,CA,16,Democrat,2020,-0.67914828,H4CA20082,C001059
Esmeralda Soria,CA,16,Democrat,2020,-0.962908861,H0CA16138,NA
Kimberly Elizabeth Williams,CA,16,Democrat,2020,-1.434015211,H0CA16112,NA
Ajwang Rading,CA,16,Democrat,2022,-1.00960278,H2CA18148,NA
Anna G. Eshoo,CA,16,Democrat,2022,-1.216666988,H8CA12098,E000215
Benjamin Thomas Solomon,CA,16,Republican,2022,-0.00325312,H2CA16159,NA
Greg Lin Tanaka,CA,16,Democrat,2022,-0.494722518,H2CA18130,NA
Peter Ohtaki,CA,16,Republican,2022,-0.644881986,H2CA18155,NA
Richard B. Fox,CA,16,Republican,2022,NA,H4CA18094,NA
Rishi Kumar,CA,16,Democrat,2022,-0.666351835,H0CA18068,NA
Ron Cohen,CA,17,Republican,2018,0.047854635,H6CA17141,NA
Stephen Forbes,CA,17,Democrat,2018,NA,NA,NA
Ro Khanna,CA,17,Democrat,2018,-1.001570019,H4CA12055,K000389
Khanh Tran,CA,17,Democrat,2018,NA,H8CA17097,NA
Stephen Forbes,CA,17,Democrat,2020,NA,H8CA17105,NA
Ro Khanna,CA,17,Democrat,2020,-0.892662898,H4CA12055,K000389
Ritesh Tandon,CA,17,Republican,2020,-0.149701576,H0CA17193,NA
Ritesh Tandon,CA,17,Republican,2022,0.03595888,H0CA17193,NA
Ro Khanna,CA,17,Democrat,2022,-0.951603741,H4CA12055,K000389
Stephen Forbes,CA,17,Democrat,2022,NA,H8CA17105,NA
Anna G. Eshoo,CA,18,Democrat,2018,NA,H8CA12098,E000215
Christine Russell,CA,18,Republican,2018,NA,H8CA18087,NA
Anna G. Eshoo,CA,18,Democrat,2020,-0.755894034,H8CA12098,E000215
Richard B. Fox,CA,18,Republican,2020,0.1081142,H0CA18084,NA
Rishi Kumar,CA,18,Democrat,2020,-0.678909578,H0CA18068,NA
Phil Reynolds,CA,18,Republican,2020,NA,H0CA18092,NA
Peter Hernandez,CA,18,Republican,2022,0.053735075,H2CA18163,NA
Zoe Lofgren,CA,18,Democrat,2022,-0.344292477,H4CA16049,L000397
Zoe Lofgren,CA,19,Democrat,2018,-0.440583173,H4CA16049,L000397
Justin James Aguilera,CA,19,Republican,2020,-0.586450674,H8CA19051,NA
Ignacio Cruz,CA,19,Republican,2020,0.816522392,H0CA39114,NA
Zoe Lofgren,CA,19,Democrat,2020,-0.508180126,H4CA16049,L000397
Ivan Torres,CA,19,Democrat,2020,-0.844208569,H0CA19207,NA
Dalila Epperson,CA,19,Republican,2022,0.090737881,H2CA20136,NA
Douglas Deitch,CA,19,Democrat,2022,NA,H8CA20091,NA
Jeff Gorman,CA,19,Republican,2022,NA,H0CA20122,NA
Jimmy Panetta,CA,19,Democrat,2022,-0.73343915,H6CA20152,P000613
Andy Caffrey,CA,2,Democrat,2018,-0.471524829,H6CA02226,NA
Jared Huffman,CA,2,Democrat,2018,NA,H2CA06259,H001068
Dale K. Mensing,CA,2,Republican,2018,0.264355077,H4CA02098,NA
Jared Huffman,CA,2,Democrat,2020,-0.919526581,H2CA06259,H001068
Dale K. Mensing,CA,2,Republican,2020,NA,H4CA02098,NA
Rachel Moniz,CA,2,Democrat,2020,-1.090258236,H0CA02179,NA
Archimedes Ramirez,CA,2,Republican,2022,-0.157694762,H2CA02258,NA
Beth Hampson,CA,2,Democrat,2022,-1.076417668,H2CA02225,NA
